Catalogue Link,Material,Module,Teeth Count,Pitch Diameter (mm),Bore Diameter (mm),Tooth Finish,Heat Treatment
SS1.5-95J35,S45C,1.5,95,142.5,35 keyway&screw hole,Standard,None
SS2-100J20,S45C,2,100,200,20 keyway&screw hole,Standard,None
SS2-100J22,S45C,2,100,200,22 keyway&screw hole,Standard,None
SS2-100J25,S45C,2,100,200,25 keyway&screw hole,Standard,None
SS2-100J28,S45C,2,100,200,28 keyway&screw hole,Standard,None
SS2-100J30,S45C,2,100,200,30 keyway&screw hole,Standard,None
SS2-100J32,S45C,2,100,200,32 keyway&screw hole,Standard,None
SS2-100J35,S45C,2,100,200,35 keyway&screw hole,Standard,None
SS2-120J20,S45C,2,120,240,20 keyway&screw hole,Standard,None
SS2-120J22,S45C,2,120,240,22 keyway&screw hole,Standard,None
SS2-120J25,S45C,2,120,240,25 keyway&screw hole,Standard,None
SS2-120J28,S45C,2,120,240,28 keyway&screw hole,Standard,None
SS2-120J30,S45C,2,120,240,30 keyway&screw hole,Standard,None
SS2-120J32,S45C,2,120,240,32 keyway&screw hole,Standard,None
SS2-120J35,S45C,2,120,240,35 keyway&screw hole,Standard,None
SS2-14J10,S45C,2,14,28,10 keyway&screw hole,Standard,None
SS2-15J12,S45C,2,15,30,12 keyway&screw hole,Standard,None
SS2-16J12,S45C,2,16,32,12 keyway&screw hole,Standard,None
SS2-16J14,S45C,2,16,32,14 keyway&screw hole,Standard,None
SS2-17J12,S45C,2,17,34,12 keyway&screw hole,Standard,None
SS2-17J14,S45C,2,17,34,14 keyway&screw hole,Standard,None
SS2-17J15,S45C,2,17,34,15 keyway&screw hole,Standard,None
SS2-17J16,S45C,2,17,34,16 keyway&screw hole,Standard,None
SS2-18J12,S45C,2,18,36,12 keyway&screw hole,Standard,None
SS2-18J14,S45C,2,18,36,14 keyway&screw hole,Standard,None
SS2-18J15,S45C,2,18,36,15 keyway&screw hole,Standard,None
SS2-18J16,S45C,2,18,36,16 keyway&screw hole,Standard,None
