Catalogue.Number,Material,Module,Teeth.Count,Pitch.Diameter..mm.,Bore.Diameter..mm.,Face.Width..cm.,Tooth.Finish,Heat.Treatment,Lewis.Form.Factor,set.screw,keyway,Torque,Weight
SSA2.5-56J30,S45C,2.5,56,140,30,2.5,Standard,None,0.415,0,1,348.63,2.878
SSA2.5-56J32,S45C,2.5,56,140,32,2.5,Standard,None,0.415,0,1,348.63,2.858
SSA2.5-56J35,S45C,2.5,56,140,35,2.5,Standard,None,0.415,0,1,348.63,2.827
SSA2.5-56J40,S45C,2.5,56,140,40,2.5,Standard,None,0.415,0,1,348.63,2.768
SSA2.5-56J45,S45C,2.5,56,140,45,2.5,Standard,None,0.415,0,1,348.63,2.701
SSA2.5-56J50,S45C,2.5,56,140,50,2.5,Standard,None,0.415,0,1,348.63,2.627
SSA2.5-60J22,S45C,2.5,60,150,22,2.5,Standard,None,0.421,0,1,378.54,2.928
SSA2.5-60J25,S45C,2.5,60,150,25,2.5,Standard,None,0.421,0,1,378.54,2.905
SSA2.5-60J28,S45C,2.5,60,150,28,2.5,Standard,None,0.421,0,1,378.54,2.881
SSA2.5-60J30,S45C,2.5,60,150,30,2.5,Standard,None,0.421,0,1,378.54,2.863
SSA2.5-60J32,S45C,2.5,60,150,32,2.5,Standard,None,0.421,0,1,378.54,2.843
SSA2.5-60J35,S45C,2.5,60,150,35,2.5,Standard,None,0.421,0,1,378.54,2.812
SSA2.5-60J40,S45C,2.5,60,150,40,2.5,Standard,None,0.421,0,1,378.54,2.753
SSA2.5-70J22,S45C,2.5,70,175,22,2.5,Standard,None,0.429,0,1,453.85,3.892
SSA2.5-70J25,S45C,2.5,70,175,25,2.5,Standard,None,0.429,0,1,453.85,3.869
SSA2.5-70J28,S45C,2.5,70,175,28,2.5,Standard,None,0.429,0,1,453.85,3.844
SSA2.5-70J30,S45C,2.5,70,175,30,2.5,Standard,None,0.429,0,1,453.85,3.826
SSA2.5-70J32,S45C,2.5,70,175,32,2.5,Standard,None,0.429,0,1,453.85,3.806
SSA2.5-70J35,S45C,2.5,70,175,35,2.5,Standard,None,0.429,0,1,453.85,3.775
SSA2.5-70J40,S45C,2.5,70,175,40,2.5,Standard,None,0.429,0,1,453.85,3.717
SSA2.5-70J45,S45C,2.5,70,175,45,2.5,Standard,None,0.429,0,1,453.85,3.649
SSA3-15J12,S45C,3,15,45,12,3,Standard,None,0.289,0,1,99.73,0.346
SSA3-15J14,S45C,3,15,45,14,3,Standard,None,0.289,0,1,99.73,0.336
SSA3-15J15,S45C,3,15,45,15,3,Standard,None,0.289,0,1,99.73,0.331
SSA3-15J16,S45C,3,15,45,16,3,Standard,None,0.289,0,1,99.73,0.325
SSA3-15J17,S45C,3,15,45,17,3,Standard,None,0.289,0,1,99.73,0.319
SSA3-15J18,S45C,3,15,45,18,3,Standard,None,0.289,0,1,99.73,0.311
SSA3-18J12,S45C,3,18,54,12,3,Standard,None,0.308,0,1,132.59,0.511
SSA3-18J14,S45C,3,18,54,14,3,Standard,None,0.308,0,1,132.59,0.501
SSA3-18J15,S45C,3,18,54,15,3,Standard,None,0.308,0,1,132.59,0.495
SSA3-18J16,S45C,3,18,54,16,3,Standard,None,0.308,0,1,132.59,0.49
SSA3-18J17,S45C,3,18,54,17,3,Standard,None,0.308,0,1,132.59,0.483
SSA3-18J18,S45C,3,18,54,18,3,Standard,None,0.308,0,1,132.59,0.476
SSA3-18J19,S45C,3,18,54,19,3,Standard,None,0.308,0,1,132.59,0.469
SSA3-18J20,S45C,3,18,54,20,3,Standard,None,0.308,0,1,132.59,0.462
SSA3-18J22,S45C,3,18,54,22,3,Standard,None,0.308,0,1,132.59,0.446
SSA3-20J15,S45C,3,20,60,15,3,Standard,None,0.32,0,1,155.14,0.622
SSA3-20J16,S45C,3,20,60,16,3,Standard,None,0.32,0,1,155.14,0.616
SSA3-20J17,S45C,3,20,60,17,3,Standard,None,0.32,0,1,155.14,0.61
SSA3-20J18,S45C,3,20,60,18,3,Standard,None,0.32,0,1,155.14,0.602
SSA3-20J19,S45C,3,20,60,19,3,Standard,None,0.32,0,1,155.14,0.596
SSA3-20J20,S45C,3,20,60,20,3,Standard,None,0.32,0,1,155.14,0.588
SSA3-20J22,S45C,3,20,60,22,3,Standard,None,0.32,0,1,155.14,0.573
SSA3-20J25,S45C,3,20,60,25,3,Standard,None,0.32,0,1,155.14,0.545
SSA3-24J15,S45C,3,24,72,15,3,Standard,None,0.337,0,1,201.63,0.915
SSA3-24J16,S45C,3,24,72,16,3,Standard,None,0.337,0,1,201.63,0.909
SSA3-24J17,S45C,3,24,72,17,3,Standard,None,0.337,0,1,201.63,0.903
SSA3-24J18,S45C,3,24,72,18,3,Standard,None,0.337,0,1,201.63,0.895
SSA3-24J19,S45C,3,24,72,19,3,Standard,None,0.337,0,1,201.63,0.889
SSA3-24J20,S45C,3,24,72,20,3,Standard,None,0.337,0,1,201.63,0.881
SSA3-24J22,S45C,3,24,72,22,3,Standard,None,0.337,0,1,201.63,0.866
SSA3-24J25,S45C,3,24,72,25,3,Standard,None,0.337,0,1,201.63,0.838
SSA3-24J28,S45C,3,24,72,28,3,Standard,None,0.337,0,1,201.63,0.808
SSA3-24J30,S45C,3,24,72,30,3,Standard,None,0.337,0,1,201.63,0.787
SSA3-24J32,S45C,3,24,72,32,3,Standard,None,0.337,0,1,201.63,0.763
SSA3-25J15,S45C,3,25,75,15,3,Standard,None,0.337,0,1,213.49,0.996
SSA3-25J16,S45C,3,25,75,16,3,Standard,None,0.337,0,1,213.49,0.991
SSA3-25J17,S45C,3,25,75,17,3,Standard,None,0.337,0,1,213.49,0.985
SSA3-25J18,S45C,3,25,75,18,3,Standard,None,0.337,0,1,213.49,0.977
SSA3-25J19,S45C,3,25,75,19,3,Standard,None,0.337,0,1,213.49,0.97
SSA3-25J20,S45C,3,25,75,20,3,Standard,None,0.337,0,1,213.49,0.963
SSA3-25J22,S45C,3,25,75,22,3,Standard,None,0.337,0,1,213.49,0.947
SSA3-25J25,S45C,3,25,75,25,3,Standard,None,0.337,0,1,213.49,0.919
SSA3-25J28,S45C,3,25,75,28,3,Standard,None,0.337,0,1,213.49,0.89
SSA3-25J30,S45C,3,25,75,30,3,Standard,None,0.337,0,1,213.49,0.868
SSA3-25J32,S45C,3,25,75,32,3,Standard,None,0.337,0,1,213.49,0.844
SSA3-28J20,S45C,3,28,84,20,3,Standard,None,0.352,0,1,249.48,1.228
SSA3-28J22,S45C,3,28,84,22,3,Standard,None,0.352,0,1,249.48,1.212
SSA3-28J25,S45C,3,28,84,25,3,Standard,None,0.352,0,1,249.48,1.184
SSA3-28J28,S45C,3,28,84,28,3,Standard,None,0.352,0,1,249.48,1.155
SSA3-28J30,S45C,3,28,84,30,3,Standard,None,0.352,0,1,249.48,1.133
SSA3-28J32,S45C,3,28,84,32,3,Standard,None,0.352,0,1,249.48,1.109
SSA3-28J35,S45C,3,28,84,35,3,Standard,None,0.352,0,1,249.48,1.072
SSA3-30J20,S45C,3,30,90,20,3,Standard,None,0.358,0,1,273.8,1.421
SSA3-30J22,S45C,3,30,90,22,3,Standard,None,0.358,0,1,273.8,1.405
SSA3-30J25,S45C,3,30,90,25,3,Standard,None,0.358,0,1,273.8,1.377
SSA3-30J28,S45C,3,30,90,28,3,Standard,None,0.358,0,1,273.8,1.348
SSA3-30J30,S45C,3,30,90,30,3,Standard,None,0.358,0,1,273.8,1.326
SSA3-30J32,S45C,3,30,90,32,3,Standard,None,0.358,0,1,273.8,1.302
SSA3-30J35,S45C,3,30,90,35,3,Standard,None,0.358,0,1,273.8,1.265
SSA3-30J40,S45C,3,30,90,40,3,Standard,None,0.358,0,1,273.8,1.195
SSA3-32J20,S45C,3,32,96,20,3,Standard,None,0.364,0,1,298.32,1.627
SSA3-32J22,S45C,3,32,96,22,3,Standard,None,0.364,0,1,298.32,1.612
SSA3-32J25,S45C,3,32,96,25,3,Standard,None,0.364,0,1,298.32,1.584
SSA3-32J28,S45C,3,32,96,28,3,Standard,None,0.364,0,1,298.32,1.554
SSA3-32J30,S45C,3,32,96,30,3,Standard,None,0.364,0,1,298.32,1.533
SSA3-32J32,S45C,3,32,96,32,3,Standard,None,0.364,0,1,298.32,1.509
SSA3-32J35,S45C,3,32,96,35,3,Standard,None,0.364,0,1,298.32,1.471
SSA3-32J40,S45C,3,32,96,40,3,Standard,None,0.364,0,1,298.32,1.401
SSA3-35J20,S45C,3,35,105,20,3,Standard,None,0.37,0,1,335.39,1.962
SSA3-35J22,S45C,3,35,105,22,3,Standard,None,0.37,0,1,335.39,1.946
SSA3-35J25,S45C,3,35,105,25,3,Standard,None,0.37,0,1,335.39,1.918
SSA3-35J28,S45C,3,35,105,28,3,Standard,None,0.37,0,1,335.39,1.889
SSA3-35J30,S45C,3,35,105,30,3,Standard,None,0.37,0,1,335.39,1.867
SSA3-35J32,S45C,3,35,105,32,3,Standard,None,0.37,0,1,335.39,1.843
SSA3-35J35,S45C,3,35,105,35,3,Standard,None,0.37,0,1,335.39,1.806
SSA3-35J40,S45C,3,35,105,40,3,Standard,None,0.37,0,1,335.39,1.736
SSA3-35J45,S45C,3,35,105,45,3,Standard,None,0.37,0,1,335.39,1.655
SSA3-36J20,S45C,3,36,108,20,3,Standard,None,0.377,0,1,347.84,2.08
SSA3-36J22,S45C,3,36,108,22,3,Standard,None,0.377,0,1,347.84,2.064
SSA3-36J25,S45C,3,36,108,25,3,Standard,None,0.377,0,1,347.84,2.036
SSA3-36J28,S45C,3,36,108,28,3,Standard,None,0.377,0,1,347.84,2.007
SSA3-36J30,S45C,3,36,108,30,3,Standard,None,0.377,0,1,347.84,1.985
SSA3-36J32,S45C,3,36,108,32,3,Standard,None,0.377,0,1,347.84,1.961
SSA3-36J35,S45C,3,36,108,35,3,Standard,None,0.377,0,1,347.84,1.924
SSA3-36J40,S45C,3,36,108,40,3,Standard,None,0.377,0,1,347.84,1.854
SSA3-36J45,S45C,3,36,108,45,3,Standard,None,0.377,0,1,347.84,1.773
SSA3-36J50,S45C,3,36,108,50,3,Standard,None,0.377,0,1,347.84,1.685
SSA3-40J25,S45C,3,40,120,25,3,Standard,None,0.389,0,1,397.95,2.542
SSA3-40J28,S45C,3,40,120,28,3,Standard,None,0.389,0,1,397.95,2.513
SSA3-40J30,S45C,3,40,120,30,3,Standard,None,0.389,0,1,397.95,2.491
SSA3-40J32,S45C,3,40,120,32,3,Standard,None,0.389,0,1,397.95,2.468
SSA3-40J35,S45C,3,40,120,35,3,Standard,None,0.389,0,1,397.95,2.43
SSA3-40J40,S45C,3,40,120,40,3,Standard,None,0.389,0,1,397.95,2.36
SSA3-40J45,S45C,3,40,120,45,3,Standard,None,0.389,0,1,397.95,2.279
SSA3-40J50,S45C,3,40,120,50,3,Standard,None,0.389,0,1,397.95,2.191
SSA3-45J25,S45C,3,45,135,25,3,Standard,None,0.399,0,1,461.31,3.25
SSA3-45J28,S45C,3,45,135,28,3,Standard,None,0.399,0,1,461.31,3.22
SSA3-45J30,S45C,3,45,135,30,3,Standard,None,0.399,0,1,461.31,3.199
SSA3-45J32,S45C,3,45,135,32,3,Standard,None,0.399,0,1,461.31,3.175
SSA3-45J35,S45C,3,45,135,35,3,Standard,None,0.399,0,1,461.31,3.138
SSA3-45J40,S45C,3,45,135,40,3,Standard,None,0.399,0,1,461.31,3.067
SSA3-45J45,S45C,3,45,135,45,3,Standard,None,0.399,0,1,461.31,2.986
SSA3-45J50,S45C,3,45,135,50,3,Standard,None,0.399,0,1,461.31,2.898
SSA3-48J25,S45C,3,48,144,25,3,Standard,None,0.399,0,1,499.55,3.714
SSA3-48J28,S45C,3,48,144,28,3,Standard,None,0.399,0,1,499.55,3.685
SSA3-48J30,S45C,3,48,144,30,3,Standard,None,0.399,0,1,499.55,3.663
SSA3-48J32,S45C,3,48,144,32,3,Standard,None,0.399,0,1,499.55,3.639
SSA3-48J35,S45C,3,48,144,35,3,Standard,None,0.399,0,1,499.55,3.602
SSA3-48J40,S45C,3,48,144,40,3,Standard,None,0.399,0,1,499.55,3.532
SSA3-48J45,S45C,3,48,144,45,3,Standard,None,0.399,0,1,499.55,3.451
SSA3-48J50,S45C,3,48,144,50,3,Standard,None,0.399,0,1,499.55,3.363
SSA3-50J25,S45C,3,50,150,25,3,Standard,None,0.408,0,1,525.15,3.596
SSA3-50J28,S45C,3,50,150,28,3,Standard,None,0.408,0,1,525.15,3.567
SSA3-50J30,S45C,3,50,150,30,3,Standard,None,0.408,0,1,525.15,3.545
SSA3-50J32,S45C,3,50,150,32,3,Standard,None,0.408,0,1,525.15,3.521
SSA3-50J35,S45C,3,50,150,35,3,Standard,None,0.408,0,1,525.15,3.484
SSA3-50J40,S45C,3,50,150,40,3,Standard,None,0.408,0,1,525.15,3.414
SSA3-55J25,S45C,3,55,165,25,3,Standard,None,0.415,0,1,589.48,4.333
SSA3-55J28,S45C,3,55,165,28,3,Standard,None,0.415,0,1,589.48,4.304
SSA3-55J30,S45C,3,55,165,30,3,Standard,None,0.415,0,1,589.48,4.282
SSA3-55J32,S45C,3,55,165,32,3,Standard,None,0.415,0,1,589.48,4.258
SSA3-55J35,S45C,3,55,165,35,3,Standard,None,0.415,0,1,589.48,4.221
SSA3-55J40,S45C,3,55,165,40,3,Standard,None,0.415,0,1,589.48,4.15
SSA3-55J45,S45C,3,55,165,45,3,Standard,None,0.415,0,1,589.48,4.069
SSA3-56J25,S45C,3,56,168,25,3,Standard,None,0.415,0,1,602.33,4.464
SSA3-56J28,S45C,3,56,168,28,3,Standard,None,0.415,0,1,602.33,4.435
SSA3-56J30,S45C,3,56,168,30,3,Standard,None,0.415,0,1,602.33,4.413
SSA3-56J32,S45C,3,56,168,32,3,Standard,None,0.415,0,1,602.33,4.389
SSA3-56J35,S45C,3,56,168,35,3,Standard,None,0.415,0,1,602.33,4.352
SSA3-56J40,S45C,3,56,168,40,3,Standard,None,0.415,0,1,602.33,4.282
SSA3-56J45,S45C,3,56,168,45,3,Standard,None,0.415,0,1,602.33,4.201
SSA3-60J25,S45C,3,60,180,25,3,Standard,None,0.421,0,1,654.1,5.135
SSA3-60J28,S45C,3,60,180,28,3,Standard,None,0.421,0,1,654.1,5.105
SSA3-60J30,S45C,3,60,180,30,3,Standard,None,0.421,0,1,654.1,5.084
SSA3-60J32,S45C,3,60,180,32,3,Standard,None,0.421,0,1,654.1,5.06
SSA3-60J35,S45C,3,60,180,35,3,Standard,None,0.421,0,1,654.1,5.022
SSA3-60J40,S45C,3,60,180,40,3,Standard,None,0.421,0,1,654.1,4.952
SSA3-60J45,S45C,3,60,180,45,3,Standard,None,0.421,0,1,654.1,4.871
SSA3-60J50,S45C,3,60,180,50,3,Standard,None,0.421,0,1,654.1,4.783
SSA3-70J25,S45C,3,70,210,25,3,Standard,None,0.429,0,1,653.52,6.636
SSA3-70J28,S45C,3,70,210,28,3,Standard,None,0.429,0,1,653.52,6.607
SSA3-70J30,S45C,3,70,210,30,3,Standard,None,0.429,0,1,653.52,6.585
SSA3-70J32,S45C,3,70,210,32,3,Standard,None,0.429,0,1,653.52,6.561
SSA3-70J35,S45C,3,70,210,35,3,Standard,None,0.429,0,1,653.52,6.524
SSA3-70J40,S45C,3,70,210,40,3,Standard,None,0.429,0,1,653.52,6.454
SSA3-70J45,S45C,3,70,210,45,3,Standard,None,0.429,0,1,653.52,6.373
SSA3-70J50,S45C,3,70,210,50,3,Standard,None,0.429,0,1,653.52,6.285
